iter	Passed	Remaining
0	53	53513
1	54	27085
2	54	18192
3	56	14121
4	57	11413
5	57	9598
6	61	8703
7	62	7807
8	64	7144
9	65	6521
10	66	5993
11	67	5553
12	68	5167
13	68	4839
14	69	4550
15	73	4504
16	75	4343
17	76	4198
18	78	4052
19	79	3874
20	79	3719
21	80	3576
22	81	3444
23	81	3323
24	82	3209
25	82	3100
26	83	3001
27	83	2911
28	84	2828
29	85	2752
30	85	2677
31	86	2605
32	90	2653
33	94	2676
34	96	2664
35	109	2927
36	111	2912
37	112	2850
38	113	2786
39	113	2727
40	114	2673
41	114	2618
42	115	2566
43	115	2517
44	116	2470
45	116	2425
46	117	2382
47	118	2343
48	119	2326
49	121	2308
50	122	2278
51	123	2244
52	124	2223
53	126	2211
54	127	2186
55	127	2154
56	128	2122
57	128	2091
58	129	2062
59	129	2033
60	130	2006
61	130	1980
62	131	1954
63	131	1928
64	132	1904
65	132	1881
66	133	1857
67	133	1835
68	134	1813
69	134	1792
70	135	1772
71	135	1751
72	136	1732
73	136	1713
74	137	1696
75	138	1681
76	138	1665
77	139	1648
78	139	1631
79	140	1615
80	141	1600
81	141	1584
82	141	1566
83	142	1550
84	142	1536
85	143	1522
86	143	1507
87	144	1494
88	144	1480
89	145	1467
90	145	1455
91	149	1474
92	149	1462
93	150	1450
94	150	1438
95	151	1426
96	151	1414
97	152	1404
98	153	1393
99	153	1382
100	154	1372
101	154	1361
102	155	1351
103	155	1341
104	156	1332
105	157	1325
106	157	1317
107	158	1309
108	159	1300
109	159	1291
110	160	1282
111	160	1272
112	161	1264
113	161	1255
114	161	1246
115	162	1237
116	162	1228
117	163	1220
118	163	1212
119	164	1204
120	164	1196
121	165	1188
122	165	1180
123	166	1172
124	166	1165
125	167	1159
126	167	1151
127	168	1147
128	169	1141
129	169	1135
130	170	1130
131	171	1124
132	171	1118
133	172	1113
134	172	1107
135	173	1101
136	173	1095
137	174	1090
138	175	1084
139	175	1080
140	176	1075
141	176	1068
142	177	1064
143	178	1061
144	179	1055
145	179	1050
146	180	1049
147	181	1045
148	182	1042
149	183	1037
150	183	1033
151	184	1030
152	185	1025
153	185	1021
154	186	1016
155	186	1011
156	187	1006
157	187	1001
158	188	997
159	188	991
160	189	985
161	189	980
162	190	975
163	190	970
164	190	965
165	191	960
166	191	956
167	192	951
168	192	946
169	192	941
170	193	937
171	193	932
172	194	927
173	194	923
174	194	918
175	195	915
176	196	912
177	196	908
178	197	904
179	197	900
180	198	896
181	198	892
182	199	888
183	199	884
184	199	880
185	200	876
186	200	873
187	201	870
188	201	866
189	202	862
190	202	859
191	203	856
192	204	853
193	204	851
194	205	847
195	206	848
196	207	846
197	208	843
198	208	840
199	209	837
200	209	834
201	210	831
202	210	828
203	211	824
204	211	821
205	212	818
206	212	815
207	213	812
208	213	808
209	214	805
210	214	802
211	215	799
212	215	796
213	216	793
214	216	790
215	216	787
216	217	784
217	217	781
218	218	778
219	218	775
220	219	772
221	219	770
222	220	767
223	220	764
224	221	761
225	221	758
226	221	755
227	222	752
228	222	749
229	223	746
230	223	743
231	223	741
232	224	739
233	224	736
234	225	733
235	225	730
236	226	728
237	226	726
238	227	723
239	227	721
240	228	718
241	228	716
242	229	714
243	229	711
244	230	709
245	230	707
246	231	704
247	231	702
248	232	699
249	232	697
250	233	696
251	233	693
252	234	692
253	234	689
254	235	687
255	235	685
256	236	683
257	236	680
258	237	679
259	238	677
260	238	675
261	239	673
262	239	671
263	240	669
264	240	667
265	241	665
266	241	663
267	242	661
268	242	659
269	243	658
270	244	657
271	244	655
272	245	653
273	245	651
274	246	649
275	246	646
276	246	644
277	247	642
278	247	640
279	248	638
280	248	636
281	249	634
282	249	632
283	250	630
284	250	628
285	251	626
286	251	625
287	252	623
288	253	623
289	254	621
290	254	620
291	254	618
292	255	616
293	255	614
294	256	612
295	256	611
296	257	609
297	257	607
298	258	605
299	258	604
300	259	602
301	260	601
302	261	600
303	261	599
304	262	598
305	263	596
306	263	595
307	264	593
308	264	591
309	265	590
310	265	588
311	266	587
312	266	585
313	267	584
314	267	582
315	268	580
316	268	579
317	269	577
318	269	575
319	270	574
320	270	572
321	271	570
322	271	569
323	271	567
324	272	565
325	272	564
326	273	562
327	273	560
328	274	559
329	274	557
330	274	555
331	275	554
332	275	552
333	276	550
334	276	549
335	277	547
336	277	546
337	278	544
338	278	542
339	278	541
340	279	539
341	279	538
342	280	536
343	280	535
344	281	533
345	281	532
346	282	530
347	282	529
348	282	527
349	283	526
350	283	524
351	284	523
352	284	521
353	285	520
354	285	518
355	285	517
356	286	515
357	286	513
358	286	512
359	287	510
360	288	509
361	288	509
362	289	508
363	290	507
364	291	507
365	292	506
366	293	505
367	293	504
368	294	503
369	294	501
370	295	500
371	295	499
372	296	497
373	296	496
374	297	495
375	297	494
376	298	492
377	298	491
378	299	490
379	300	489
380	300	488
381	300	486
382	301	485
383	301	484
384	302	483
385	302	481
386	303	480
387	303	479
388	304	477
389	304	476
390	304	475
391	305	473
392	305	472
393	306	470
394	306	469
395	306	468
396	307	466
397	309	467
398	309	466
399	309	464
400	310	463
401	310	462
402	311	460
403	311	459
404	311	458
405	312	457
406	312	455
407	313	454
408	313	453
409	313	451
410	314	450
411	314	449
412	315	447
413	315	446
414	317	447
415	318	446
416	318	445
417	319	444
418	319	443
419	319	441
420	320	440
421	320	439
422	321	438
423	321	437
424	322	435
425	322	434
426	323	433
427	323	432
428	324	431
429	324	430
430	324	428
431	325	427
432	325	426
433	326	425
434	326	424
435	326	422
436	327	421
437	327	420
438	328	419
439	328	418
440	329	417
441	329	416
442	329	414
443	330	413
444	330	412
445	331	411
446	331	410
447	332	409
448	332	408
449	332	406
450	333	405
451	333	404
452	334	403
453	334	402
454	334	401
455	335	400
456	335	399
457	336	398
458	336	397
459	337	396
460	337	395
461	338	394
462	339	393
463	339	392
464	339	391
465	340	389
466	340	388
467	341	387
468	341	387
469	342	386
470	342	385
471	343	384
472	347	387
473	347	385
474	349	385
475	349	384
476	350	383
477	350	382
478	353	384
479	354	383
480	354	382
481	354	381
482	355	380
483	356	379
484	356	378
485	357	377
486	357	376
487	358	375
488	358	374
489	359	373
490	359	372
491	359	371
492	360	370
493	360	369
494	361	368
495	361	367
496	362	366
497	363	365
498	363	364
499	364	364
500	364	363
501	365	362
502	368	363
503	368	362
504	369	361
505	369	360
506	370	360
507	371	359
508	371	358
509	372	357
510	372	356
511	375	357
512	377	358
513	377	357
514	378	356
515	379	355
516	380	355
517	381	355
518	382	354
519	383	353
520	383	352
521	384	351
522	384	350
523	385	349
524	385	349
525	386	348
526	387	347
527	387	346
528	388	345
529	388	344
530	389	344
531	390	343
532	390	342
533	390	341
534	391	340
535	391	339
536	394	340
537	394	339
538	395	338
539	395	337
540	396	336
541	396	335
542	397	334
543	397	333
544	398	332
545	398	331
546	399	331
547	400	330
548	401	329
549	401	328
550	402	327
551	402	326
552	404	326
553	404	325
554	404	324
555	408	325
556	408	324
557	409	323
558	409	322
559	409	322
560	410	321
561	411	320
562	411	319
563	412	318
564	412	317
565	412	316
566	413	315
567	414	314
568	414	314
569	415	313
570	415	312
571	416	311
572	416	310
573	417	309
574	418	308
575	418	308
576	419	307
577	419	306
578	420	305
579	421	304
580	421	304
581	422	303
582	422	302
583	423	301
584	423	300
585	425	300
586	425	299
587	426	298
588	429	299
589	431	300
590	432	299
591	432	298
592	433	297
593	434	296
594	434	296
595	437	296
596	438	295
597	438	294
598	439	293
599	439	293
600	440	292
601	440	291
602	441	290
603	441	289
604	442	288
605	442	287
606	443	287
607	443	286
608	444	285
609	445	284
610	445	283
611	446	282
612	446	281
613	447	281
614	447	280
615	448	279
616	449	279
617	450	278
618	450	277
619	451	276
620	451	275
621	452	274
622	452	274
623	453	273
624	453	272
625	454	271
626	454	270
627	455	269
628	456	269
629	456	268
630	459	268
631	460	267
632	460	267
633	462	267
634	463	266
635	463	265
636	464	264
637	464	263
638	465	262
639	465	262
640	466	261
641	466	260
642	467	259
643	467	258
644	468	257
645	468	256
646	468	255
647	469	255
648	469	254
649	470	253
650	470	252
651	471	251
652	471	250
653	472	249
654	472	248
655	472	247
656	473	247
657	473	246
658	474	245
659	474	244
660	474	243
661	475	242
662	475	241
663	476	241
664	476	240
665	477	239
666	477	238
667	478	237
668	478	236
669	479	236
670	479	235
671	480	234
672	480	233
673	481	232
674	481	231
675	481	231
676	482	230
677	482	229
678	483	228
679	484	227
680	486	228
681	487	227
682	487	226
683	488	225
684	488	224
685	490	224
686	490	223
687	491	222
688	492	222
689	492	221
690	493	220
691	493	219
692	494	218
693	494	218
694	495	217
695	496	216
696	496	215
697	496	215
698	497	214
699	497	213
700	498	212
701	498	211
702	499	211
703	500	210
704	500	209
705	501	208
706	501	207
707	502	207
708	502	206
709	503	205
710	503	204
711	504	203
712	504	203
713	505	202
714	506	201
715	506	201
716	507	200
717	507	199
718	508	198
719	508	197
720	509	197
721	509	196
722	510	195
723	511	194
724	511	194
725	512	193
726	513	192
727	513	192
728	515	191
729	516	190
730	516	190
731	517	189
732	517	188
733	518	187
734	520	187
735	521	187
736	522	186
737	522	185
738	523	184
739	523	184
740	524	183
741	524	182
742	525	181
743	525	180
744	526	180
745	527	179
746	527	178
747	528	177
748	528	177
749	529	176
750	530	175
751	530	175
752	531	174
753	532	173
754	533	173
755	534	172
756	535	171
757	536	171
758	537	170
759	537	169
760	538	169
761	542	169
762	543	168
763	543	168
764	544	167
765	544	166
766	545	165
767	545	164
768	547	164
769	547	163
770	548	162
771	548	162
772	549	161
773	549	160
774	550	159
775	551	159
776	552	158
777	552	157
778	553	156
779	553	156
780	554	155
781	554	154
782	555	153
783	555	153
784	555	152
785	557	151
786	558	151
787	558	150
788	559	149
789	559	148
790	560	147
791	561	147
792	562	146
793	564	146
794	565	145
795	565	145
796	566	144
797	567	143
798	567	142
799	568	142
800	569	141
801	570	140
802	570	140
803	571	139
804	571	138
805	572	137
806	572	136
807	573	136
808	573	135
809	574	134
810	574	133
811	575	133
812	575	132
813	576	131
814	576	130
815	576	130
816	577	129
817	577	128
818	578	127
819	578	127
820	579	126
821	579	125
822	580	124
823	580	124
824	581	123
825	581	122
826	581	121
827	582	120
828	582	120
829	583	119
830	583	118
831	584	117
832	584	117
833	585	116
834	585	115
835	586	114
836	586	114
837	587	113
838	587	112
839	588	112
840	588	111
841	588	110
842	589	109
843	589	109
844	590	108
845	590	107
846	591	106
847	591	106
848	592	105
849	593	104
850	594	104
851	595	103
852	595	102
853	596	101
854	596	101
855	597	100
856	597	99
857	597	98
858	598	98
859	599	97
860	599	96
861	600	96
862	600	95
863	601	94
864	601	93
865	602	93
866	602	92
867	603	91
868	603	91
869	604	90
870	604	89
871	605	88
872	605	88
873	605	87
874	606	86
875	606	85
876	607	85
877	607	84
878	608	83
879	608	82
880	609	82
881	609	81
882	610	80
883	610	80
884	610	79
885	611	78
886	611	77
887	612	77
888	612	76
889	613	75
890	613	75
891	614	74
892	614	73
893	615	72
894	615	72
895	616	71
896	616	70
897	617	70
898	617	69
899	618	68
900	618	67
901	621	67
902	622	66
903	622	66
904	623	65
905	623	64
906	623	63
907	624	63
908	626	62
909	627	62
910	627	61
911	628	60
912	628	59
913	629	59
914	629	58
915	630	57
916	630	57
917	631	56
918	631	55
919	631	54
920	632	54
921	633	53
922	633	52
923	634	52
924	634	51
925	635	50
926	635	50
927	636	49
928	636	48
929	637	47
930	637	47
931	638	46
932	638	45
933	639	45
934	640	44
935	640	43
936	641	43
937	641	42
938	641	41
939	642	40
940	642	40
941	643	39
942	643	38
943	643	38
944	644	37
945	647	36
946	648	36
947	649	35
948	649	34
949	651	34
950	651	33
951	652	32
952	652	32
953	652	31
954	654	30
955	654	30
956	655	29
957	655	28
958	656	28
959	656	27
960	657	26
961	657	25
962	658	25
963	659	24
964	659	23
965	660	23
966	660	22
967	661	21
968	661	21
969	661	20
970	662	19
971	662	19
972	663	18
973	664	17
974	665	17
975	666	16
976	666	15
977	667	15
978	667	14
979	667	13
980	668	12
981	669	12
982	669	11
983	669	10
984	670	10
985	670	9
986	671	8
987	676	8
988	676	7
989	677	6
990	677	6
991	678	5
992	679	4
993	679	4
994	679	3
995	681	2
996	682	2
997	683	1
998	683	0
999	684	0
